userid,artistname,qty
user_000025,The Cure,59
user_000003,Aerosmith,2
user_000004,Metallica,2
user_000048,The Cure,4
user_000040,Red Hot Chili Peppers,1
user_000016,Pink Floyd,13
user_000041,Red Hot Chili Peppers,9
user_000003,The Doors,634
user_000022,The Doors,12
user_000033,U2,6
user_000041,Bob Dylan,3
user_000033,Massive Attack,46
user_000043,Bob Dylan,5
user_000045,Aerosmith,1
user_000006,Queen,1
user_000016,Massive Attack,13
user_000020,Massive Attack,2
user_000004,Santana,4
user_000032,The Doors,4
user_000009,Pink Floyd,29
user_000030,The Doors,23
user_000004,Nirvana,3
user_000034,Nirvana,1
user_000029,Red Hot Chili Peppers,1
user_000019,Santana,16
user_000003,Pink Floyd,23
user_000025,Oasis,59
user_000031,U2,97
user_000019,Red Hot Chili Peppers,107
user_000032,Red Hot Chili Peppers,428
